col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
1,99.05067479064053,98.8971808913729,99.02722376486406,99.1239341500432,98.71424889764643,98.8169419148679,98.82211822607685,99.10321648015098,99.08927686371148,98.71549451740233,98.75650325489804,98.96469644106584,98.67493869291667,98.80314367891184,98.60669935704978,99.23517425169999,98.83090473231033,98.4387737615599,98.6962060452401,98.7484166051269,98.86243072623245,98.72054473427644,98.70703161414397,99.21937671424187,99.19385211364713,98.54091615480414,99.07122146297402,98.51197830196003,98.37905757270133,99.20797202681825
2,94.98576515875263,93.4611392429336,94.58578312481997,95.99126109550666,92.8262669003287,93.9485208601586,93.37256767553546,94.68675039491076,95.30261281172761,94.75499581902695,94.91548083808557,93.40029465212547,94.28234245938839,94.0599025098105,92.7422931780838,96.96684614989847,95.20612779554676,91.54142156940101,93.39769310636056,93.8976052514252,94.2652436150366,92.71849745852869,92.75587954493535,95.98115806615445,96.38383130342031,92.45290760106751,95.22739292454668,91.69163836760845,91.80370717477383,95.39230952248204
3,72.95415922255432,71.73816593675475,73.40805799812782,77.48500876759125,68.46339044871975,70.41636864651868,70.86984866329541,71.18122565313658,72.24432143781121,72.7514345006977,73.12418118634045,66.05032432244616,74.29471041763296,72.85155974477901,67.82521377434104,81.1772973313711,74.11341684436192,66.13909648274708,70.47962061067527,73.30421827079958,71.7964899100578,70.41274934735331,69.4068778363579,77.51787770831747,77.2179713882288,69.97940591790756,72.62262043563996,64.27667033691354,66.27032035867299,75.69279120087404
4,53.53356930831745,57.712566500159745,57.68461837943983,60.05449135712715,59.09162015358271,60.42770351497575,56.4643561615727,53.94103851658376,53.010366170558484,58.399460197810924,58.442664302665534,57.21532658861974,60.414801689580514,56.51524975896671,55.29877626169413,61.4189594065502,62.85997425802954,55.526038996985974,61.97457300852296,58.5747471099479,56.462970189979465,60.113341588685664,58.890676380609854,60.56462007221546,56.877314066266834,60.179488719085626,56.02680502785501,54.654337455818755,57.80262012191019,59.95574938858405
5,52.66358713041199,49.97889923721299,50.435283388035444,54.99931613225786,55.90284960904515,51.54441413736319,51.23758536150675,53.42212345723614,54.95101658733812,52.119984649547554,43.965977611593786,41.794291225507386,58.71539341599357,55.87290800666101,53.273404598874265,53.95920297274732,58.03033989739637,52.28586001469443,53.58934453737933,50.65615970253879,54.092379865289764,57.60966996442046,56.66480076986957,56.14626529922388,52.81714362275011,43.47057755058433,52.18178247518872,53.24952637024466,54.7140805846843,56.292565659366325
6,41.72698390854902,35.49693581448052,37.54493048020371,34.27600819368023,33.91795849317828,34.771073570361445,33.597649925457574,40.39176022312999,51.237673573816814,37.42107165952305,31.3779622902432,35.34089555205857,47.33728549438786,53.270982979308826,41.307105423207204,32.69038001484398,50.205659085566,31.484330474189893,35.29610222334599,35.811226016789654,34.70838405528619,49.100036231882385,53.296690323811134,32.671309302043504,37.82762215867956,32.976170965026554,36.67277463271549,52.51134066778036,36.90363396240948,36.896616902026956
7,33.06385372575832,27.28671609491784,32.821874454999374,29.592399457474038,29.88759868546452,28.828568539579567,27.66116299439988,30.928391464489913,53.900331711348045,32.554321264302466,24.938553350905867,28.434550777698696,29.080659617045356,43.437314837148776,29.009892568232722,26.183182156883145,29.295585350162735,25.18562390956055,26.473532514913757,31.11627360867316,30.184733373363382,32.21964931860711,35.52810335133449,27.72907451091782,31.753965507296332,32.37000698200136,31.342222623319337,51.24073132890064,30.751142498925777,32.98448463213182
8,29.412549346365424,23.120431957788202,29.242599404595715,27.83985048950329,21.972147024207022,28.508765901507328,23.166267935069172,25.928706682806602,41.70406322316903,29.136479998575282,20.250990829762983,23.025493880797676,22.48187217376232,30.302369447920885,21.856464088448966,20.833136771726814,20.718882297241812,22.01541300503478,24.38413362860836,25.16254229491752,22.879458797870456,27.30392742590537,29.486174340882876,23.58580938291822,24.583919957209943,25.16728554024751,27.877960593482886,33.300703541768115,28.500480536627503,30.34529028962708
9,20.645338483664112,19.361143447843766,24.837050239644288,27.600498578401933,18.148274418684885,27.407688856082014,19.753105282011607,22.222609917402224,27.475431142540373,22.398039977393303,19.78046837855253,21.6512871749686,19.823747634513367,22.553980713566226,20.409400552093317,17.8166014782946,18.90581024400426,20.562903697442326,18.932093293331885,23.269638796547266,19.292395143878082,29.052660886688507,23.735760635867408,19.777370958247285,18.164477572107707,17.857796269593905,24.497932374600072,27.395750333299585,20.661014424132475,25.472788280849223
10,17.436042470737956,17.581341439702726,19.93044165063188,27.423871856359916,17.480118281448554,18.895979674055486,17.726209196173503,20.75714744280306,20.307243791124186,17.43466777538333,18.43093268276961,20.793041716222895,18.38400992146363,18.972251627326454,17.598615473285196,18.258796521867616,19.93130316926248,16.285325564149154,19.838803301746644,18.53803946567337,17.742580029103074,20.650910704568805,19.843586408300407,18.686046244656296,16.512489695500253,17.7745789887091,20.481415875111473,23.23469201009962,19.211819971646882,21.603203126527603
