S\&M,12,5,0.209,71.4733
GA1,12,4,5.352663,1/5/10
GA2,12,4,5.136652,1/5/10
GA3,12,4,5.087644,1/5/10
S\&M,24,9,0.45,249.949
GA1,24,10,11.7802,1/5/10
GA2,24,10,11.279207,1/5/10
GA3,24,10,11.310338,1/5/10
S\&M,36,15,15.074,446.9473
GA1,36,14,16.311312,1/5/10
GA2,36,14,15.560047,1/5/10
GA3,36,14,15.228583,1/5/10
S\&M,48,19,241.672,646.9474
GA1,48,23,103.363146,1/5/10
GA2,48,23,97.905533,1/5/10
GA3,48,23,98.842301,1/5/10
S\&M,60,25,12724.861,846.9473
GA1,60,27,122.624259,1/5/10
GA2,60,27,117.814334,1/5/10
GA3,60,27,112.636938,1/5/10
S\&M,72,30,40003.179,1046.1549
GA1,72,33,146.345208,1/5/10
GA2,72,33,141.441859,1/5/10
GA3,72,33,132.890425,1/5/10
