col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
1,99.16073737506788,99.21340900096828,98.52617787090398,98.6033354413233,98.95025458449116,98.8603748823078,99.1023862694746,98.46914457755072,98.52272397229638,99.06136958997327,98.65087533057138,99.15981673786888,98.96456631952037,98.98268062712316,99.13207634859081,99.04455578479201,99.25861209674662,98.81943598719678,98.72734008921977,98.93013642680441,99.40917340488377,98.581169595684,98.51825721840363,99.37380020378845,99.12658212319859,98.92032003675834,98.76351946286756,98.76588398238304,98.12608629227128,98.66337031774341
2,94.3519383370014,95.87996183001556,92.5543657150994,92.91214310795472,93.91686323826603,96.0655787469716,93.23070696817382,93.75365082071343,91.00922567326106,93.94942556805914,92.17892985709143,93.08342583846697,94.36321320657815,93.98698364926655,94.36087393949512,93.56519393238565,94.7849976452011,93.71334124246654,94.04981543821613,93.60755828050468,96.50326560112956,92.45910278499446,91.65632820233704,96.92859292299609,95.3779232993146,95.28847620272973,93.51163739043918,94.22308154409109,89.30582195533128,94.13828010055774
3,69.86322394923923,75.93782677339966,71.10559959228722,68.65421885811102,72.76839966574529,75.87306802472214,67.3652844537171,70.30157040217222,58.51407815239622,72.13965509752276,68.3613992876994,71.80558220823326,66.87278331556115,69.13026587917552,69.05189290933794,73.63569675635526,71.8257740337747,73.57007958824657,68.84934983947927,70.58681118610058,77.44063515241963,70.75027609045665,72.18565015154121,79.20851823236845,75.05944545244529,74.44491818788413,70.26706764273408,70.96415579624622,64.39532412238273,71.26184261169146
4,53.65799171749743,52.924703413762806,61.32860651544754,60.71839343709179,60.61178637482391,56.36261004032015,56.04790785628726,56.265309300915774,42.03354862306005,59.90361314239787,57.50089395128553,64.28437173724014,58.55087454321033,53.49006564463616,53.85636097930793,54.805162238944646,54.343595657572266,56.88194167495519,52.827599208751266,60.921349813983205,63.33659119901209,58.25305905235497,60.66590101719029,55.892394658887945,56.76170580766707,60.6725291660429,53.35151817847078,58.43220332958951,55.890358619363745,56.82557309130648
5,47.93308758706338,35.9908172810613,59.12213521410663,56.991223400789835,58.76276330047603,52.68115522789336,52.99111287006747,39.35019960772874,37.08679646576425,57.66994676161418,57.810289837400774,57.90304125181069,54.44159023531129,52.31589983835656,35.41944112964585,50.392627233569584,56.4512792125594,56.35118824994487,48.85430414344917,55.891345846996224,56.23962857227052,58.60774482905455,38.01402434776138,50.028559209663115,39.80816653665348,52.92566331262114,50.917693706207956,59.11132651284867,36.13770988306597,40.28908976964898
6,48.090779191166746,32.32827811179681,36.69276048028826,53.11814575150127,36.626482130829615,51.68388631116905,33.60682996592237,29.73152885944814,33.75610960024918,59.79939203477169,48.46524582509127,55.57909839249624,52.48751539305433,49.4268296435639,32.881430401105106,35.55175677826674,54.74041768786104,55.05911174756402,50.661518991510256,53.30644104316069,37.27571342048108,36.54628964086278,38.128299358033416,50.596716127225605,32.725064236129995,35.638095185718946,50.11327034084494,53.474353578232005,33.74382819430883,32.189344255587606
7,47.1817251586793,32.37167626705633,33.92982712824934,38.754857521594,28.640474085440125,53.77485044604633,27.38204037699302,24.028861512965037,25.527925556699703,54.915514997856384,34.11576142716692,38.84745703362249,37.81710089966317,44.32610088767335,32.74749646764323,29.905601577472673,56.30818914120505,54.30318803143885,48.75770356337983,37.44687352628257,27.21837249523631,30.500992237074932,31.442014989411128,49.54582117163814,29.12749679160358,29.48477678944801,49.85033647330952,30.247141615577668,29.035783219728806,26.0908674632956
8,46.44188207819487,30.37485719859663,29.993380009482618,30.731704414035633,28.18228522010746,51.515730463620955,26.783890672181844,24.642992333996883,25.12867640816613,36.03219326711823,30.683125499432585,33.84329142145609,34.490987510182606,35.102459743048,31.149968147928753,26.198416489910382,56.976568979286334,53.632957471721014,50.849320023265356,35.31276908480249,22.76041480015033,27.97220549728584,31.890127870900653,51.03372214025201,26.967754246877107,30.46022983635671,49.784089517285835,21.56412441769121,24.394233659524122,20.37941060778301
9,45.9815008118802,26.97983218899592,26.881108629178275,25.705550961405432,19.95380028314575,46.12301328859949,27.19952775414591,20.85211824434714,23.136717327377642,32.479897328535316,29.39288228455994,33.412385711200464,24.267540903387907,34.792210548267576,30.549913388062166,20.526042523030195,44.42430678951646,53.67770132909008,50.54366695236953,29.19459133802804,19.14420431226973,26.5111651246147,27.47504596208339,48.03831291309145,25.859983550859724,30.462345269893166,50.594963188862764,20.450420855867414,21.764459783538847,20.206092669000586
10,47.088883257160994,22.98819757414421,27.725341433233396,20.37163689490562,19.17783505006789,33.79298995890706,29.80583624567158,21.32416537883134,24.211228307052956,30.70978330209465,29.05529438007609,30.720995756948668,22.251134839591412,33.00659368255603,30.385757433088056,20.12028159720569,32.07378022623787,54.94886058546048,38.19744828175191,29.534512735593697,17.143699260936884,23.754283791604692,24.69033988812641,51.390916655134475,21.167493229061307,28.2798280142462,52.311230665083166,20.998007683971174,22.41646218276484,20.451513081022064
