col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
1,98.6812952593043,98.85602047536474,99.04042051463964,98.57106760425845,98.83842173621761,98.39024254929826,98.64404642337857,98.75567751496202,99.12423125404614,98.99637449417304,98.75344568385778,99.07943600568201,98.80770161455116,98.9350421924171,98.89197906197592,98.6629960804497,98.86442990801191,98.55528093844194,98.67497672921967,98.67490426715591,98.9908184897335,98.8038727338839,98.95766597022163,99.01119885291813,98.77126900848332,98.52917701197867,98.75569377164892,98.38045512064059,98.50293150607574,99.10460845504129
2,98.1204334615766,97.6763083152724,98.27365716884063,97.77218897697134,97.56539143658178,97.45336968024093,97.95659024823658,97.5543957090204,98.40226234937968,97.95206463524772,97.23266223463011,97.70377573388758,97.17960029538236,97.54430164187457,97.48361393031314,97.64272286432045,98.04439819219671,97.32573962426235,97.76110247662731,96.35290461493942,97.96667081823348,97.50579808247784,98.12291066063007,97.70833643632247,97.57827151129088,97.59925441706365,96.70772734625058,96.52233753589859,97.22406414973797,97.82174181512461
3,95.75890530913647,90.171697223012,96.20432563257599,95.55254783584424,95.64726647246553,90.83935207734632,96.0668036158575,94.56745184860033,96.8162216822422,93.79496634663327,87.7792447401067,92.79429419065418,87.69398926883613,90.37073001449684,93.42142487199247,95.17330085174717,94.52234674002946,89.17796457625677,94.87800461981675,86.42570698249763,93.58688624251806,94.09667137739886,95.92092252528221,92.44118396830405,90.82507122653357,93.84306813966762,86.25538468256141,85.98511653095933,89.71210907889923,94.70928993895818
4,83.85647869795285,75.45480583531977,82.65181825744637,81.70611747568005,82.35779812396606,71.10275141982237,81.95384292123326,79.91830675750822,87.21245543096508,77.02339202249736,68.799595746485,74.93832133173416,71.77104967932783,74.16082071727492,77.45138729842236,80.29697787837829,76.84247062575771,70.41365123424445,77.38009341037295,69.85801056671362,77.73802298409382,76.76704359468613,81.57548959171048,72.72092317209223,73.14583814439675,74.90590975738604,68.17219745585955,69.52040254079729,71.37629070906159,75.01279167940143
5,70.0535330911486,62.139125046110834,66.33595161395304,70.19708853536292,66.491339585921,60.27400398694493,65.65752521407853,67.00005722615063,68.52592130984935,62.10898202424707,60.0379949432746,60.07212719510008,62.50538927367013,63.343852193903416,62.19792347059333,60.705743805558974,64.04169452513676,56.07998982410276,59.29201764742127,60.82218249263738,65.12743193686434,62.73692725062776,66.41389059616036,61.47493691280541,58.93193257008401,63.634394818306376,57.93577965423478,58.62797349614153,58.93441481535786,64.24023401124182
6,61.84375356021108,55.513339725580124,60.342730699171284,62.76305667635103,60.7937782575712,59.29403466792954,57.120514517808644,60.19582142386623,58.054029199580846,56.76885454057239,57.10249385783859,55.063335925251764,57.58358873764895,62.06295754241036,60.58156420676908,56.37320195495023,59.077091972926276,50.84426072737007,56.14899944431851,56.914453658355725,59.49178371422805,57.88238871758517,55.61521984583163,60.5553646457031,58.89406166797857,58.291360731679,56.45527642888699,57.075394079120514,56.74744718516875,57.99858519472958
7,56.294543164358004,53.961575456484724,59.33183256167186,59.11816429453253,56.96265082924181,54.86032645633882,55.508307383448354,58.79123296744193,56.55747732846861,53.989154498899964,55.89579249204164,58.07458704942823,57.258343749647466,59.73970438517091,48.59763873446673,53.68426939148705,57.38286258223355,49.770567317004996,54.91514404988569,53.18859499223427,56.43561839625932,57.813265868291566,55.139127635848936,55.55381316261894,58.32421085163594,56.39499359676079,51.878641207951695,51.77789021186883,56.769854977810596,57.220300082941456
8,56.06106579870701,51.731873060642016,58.48967616606699,57.139739044005445,56.03769062852053,52.96339651473203,56.54504167129066,59.730804542671244,53.99903305690008,39.34504940378522,51.96779175453601,56.08980854723189,58.09099122916563,55.5117229655941,35.625114031895734,52.503666358527454,55.159550446886385,46.71460946947236,53.49109262950928,53.06713603919378,53.674140032029726,56.03618924346465,44.598889175956394,55.885627716629216,57.02555341765696,58.55552563776122,54.531094945649016,51.424353996256,52.60281242461513,51.48753810137745
9,55.84832783125099,53.201705760701365,57.595363969000246,56.754983093115975,57.27378284007314,48.34859004934394,54.989836289816594,56.140774866182475,54.09107550155496,34.51865698920772,55.31709823853692,53.84639545605698,56.95783578304733,38.355326268440116,34.34955743353159,52.6639023858047,53.53956134900704,47.24435160397977,52.57543679478363,53.57243359634995,54.831895887321295,58.088754737953884,40.30087303330217,56.53131980902185,57.04582850115201,58.8398421187428,53.37851405803662,50.686824110737305,51.77459776818984,37.65634398570562
10,57.06159230317505,51.65923206748584,58.5796385927706,56.55507179807609,53.570081287790515,50.917530778486665,39.818104262602205,51.742769221132036,55.67746536291811,28.0416356098958,54.451353841963204,55.084088265812504,55.247379113088776,33.539808902209266,32.6394152085538,55.821794092045174,55.981760864311745,48.882961818608585,53.797049982628224,52.95090774487402,55.26952677742087,41.57345660508387,35.89177241460667,51.46473063867243,55.50153571579559,59.23615219628835,50.626477098717906,57.34121260010283,53.75404668463617,33.29701893020221
