col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
1,98.86190381410988,98.70755099829557,98.79743121565332,98.37758700974267,98.92487506800566,98.75305222656493,98.64704413434566,98.8959461836252,99.09089881812764,98.87162264758832,98.9330532444036,98.55770308854575,98.79509506561965,98.94244970478928,98.70945438951033,98.786470948813,98.91066601918487,98.72208765613766,98.99722349755244,99.26961547541966,98.58553798517796,98.99910045215753,98.95863196346117,99.01256908627447,98.62125728204944,98.86609072709037,98.8908007802089,99.12408996305943,99.19717156906923,98.55992414698656
2,93.77915927205737,92.69749598812427,93.81785110042166,90.88861311901874,92.93453975035344,94.25689788971978,94.24433939694539,92.70648054408235,95.34782550961161,94.17165254156889,95.38960247396024,92.79537531571614,92.66659688471279,94.5005222852708,93.71964359490225,93.15231378868289,94.25544205557847,94.15414115627546,95.26231376862748,96.24884770131284,94.22616145919125,95.06510936196446,93.8707142407373,94.19870269454967,93.31325046893694,93.96717946554041,94.21068656277745,95.49281925698241,96.62068848941713,91.57493226372762
3,71.04635697366378,68.51106563854243,68.42905145409073,64.11214255027997,67.2900690717763,70.97687948734823,69.96873853291629,69.72440488551884,73.50858818781275,71.93334583395286,73.9486873547611,69.64831078296939,67.04675665042845,74.34604395655833,70.62290955246107,67.24753251007581,71.9463600525083,71.7127810549272,75.43498741584487,75.49509902385307,70.88948357428289,73.20945363562672,68.30896083430285,71.17443872979763,71.11867163180271,71.37590204242098,73.28223811395196,74.73437213272508,77.78412591447594,68.99694657277584
4,59.53000455777626,59.126736347691235,56.884711056726324,55.577345560963124,58.46063909845287,57.89834810240011,55.825000450960815,56.74631594259378,53.098834791542906,60.5555537039319,60.03586448893808,57.473700659248465,59.02217535692353,56.61099268146269,56.0268953126789,59.277330421799505,57.56979834096747,62.272852922128365,63.37470767326221,54.41367353643292,61.47624856839899,58.4366788496555,59.25586577151392,61.006060981859946,63.41558739629167,61.03627421124962,61.108631719589226,56.30989218127891,59.0967243253093,60.55597459529886
5,58.75376585003684,56.70650288242165,53.79296173309096,46.330861153409366,57.44021511117903,55.04249890533413,53.902928849693474,52.025935935681254,52.732423323280365,58.55275208260182,46.51292030029931,55.327053302686345,57.91093627342254,55.83478613906585,53.02978414544788,55.11859435519757,51.24481534174274,55.23736357889143,59.786398119941694,56.21133078334039,56.951288853235305,57.63158044297396,51.46289401367588,53.528460760071226,62.153631043152934,60.67464807763814,58.93266285362675,53.46137962943486,56.67345612561324,52.862356332414116
6,39.31850789789898,56.58426883599324,57.09631202545105,34.25733973217909,54.80341984608563,54.22468942512884,42.216428047378955,40.53991764643826,51.883384947082334,57.67954839957143,31.797472870181366,34.77019904384042,59.2808041605186,56.88208162963571,51.279550780513496,55.7551533514958,52.488128129870105,39.287500670855046,51.58728007885918,55.94134820168474,37.36552181696305,50.86434048195698,34.76178311519349,36.152205637730106,60.67001409270685,58.13722379298136,56.06503773713896,45.986133575206765,54.37774114803049,33.94211143024304
7,34.88710188923862,44.41397227347259,38.00739174953384,31.839797659801437,53.534043387515304,36.26038511090118,33.14692564252527,35.02218998472251,50.920542812967206,45.05086746422607,22.566292336855497,30.150569646247828,57.9345200846906,36.68234840408016,51.230160519836865,33.5303798780652,52.02558660433911,33.83324042193564,33.83855643601691,48.952039346816065,33.451663931401285,37.04807131465802,29.475879494249057,30.524973990937177,57.5571180713448,42.91750413167781,40.52244592535946,35.093750571218486,45.87782044270088,26.242550474251914
8,26.910326064760394,33.123932272408666,32.6935880970461,29.55873398695088,40.414159130769534,30.87410136943547,31.622712926260878,26.475687359255673,42.00931676853593,34.01901271493638,20.311627950573495,24.04569603676292,37.95628069513264,28.254819057032186,38.24838634683392,25.51935003465372,53.10236697505106,29.781079574243474,26.820418124370338,33.72045312185815,31.157653126230265,29.949747540256467,25.506557687488517,23.027628030734228,36.72036440389665,32.00024562163124,36.127748471105626,32.43705770781651,33.904311825885756,20.770485495211066
9,24.419590920608137,30.135137784928347,26.657353513775117,29.63878492744021,29.745468550342757,22.88297639792185,24.384896371461984,22.596057858912854,32.940830630506554,28.40630776322095,17.536170547870356,22.97077819409481,36.65945761198702,23.437828954952877,33.73225744059008,22.054664887746213,39.93128555892478,24.4670211302328,27.15176817027112,25.88184432856575,28.728534130429708,26.482517662826556,24.046626963472228,22.716711012487334,30.06648465593248,26.182554039560234,32.42793774873003,29.674564958477355,28.376016767428013,21.22466615343397
10,23.034396382494794,22.509997162653583,19.698217183252453,30.15802360514941,25.57829614378906,20.78826936149476,23.293250142852205,19.55823970395666,30.738881688711096,27.009995631510808,18.911913339185425,22.173601080388583,35.61657233060831,20.438997068831753,25.635919456953438,18.880241492864414,33.2950315991951,23.931937724999173,21.734708906056866,23.16226818171454,26.701756380668673,25.04207186398435,24.774778339689618,21.356400186302793,28.029089269910735,24.18995712518548,28.376824066877237,24.61957041206173,21.78515628734813,21.025910510963563
11,19.368514720069896,21.53983638067868,18.57977184886337,30.474984612909218,21.990205196671543,19.361805127642796,20.651481673605865,20.009903645348302,24.783633016362373,21.42076743394732,19.77010745055212,20.953395035496126,30.628591500377876,17.863267690388117,25.51419238982241,19.139825640077333,30.35632981574374,26.363446926467983,20.535207658062127,22.080688606735976,22.671071333478455,20.687633371659864,21.48711116712051,21.664479065089303,23.432587487988922,22.789430266301235,26.549677059792998,21.296711521431455,18.54520946889011,18.161203435860717
12,19.660830104765402,20.072200479957235,18.5030584927244,26.38199803040189,21.56739831047657,19.82051861211147,20.18609825401384,19.182458825342753,18.545209867216517,20.11404027112036,17.435109224771594,23.1412697559789,28.07026699454671,21.058841633433456,23.049517336768076,18.407890612251144,27.9438332140046,23.163379197258237,20.158970948534506,20.688668635828634,22.29346867855253,18.143231566550575,20.80786201347141,23.23176013442325,19.222462619978366,20.15460458288073,22.38559270746141,19.249138111972787,17.137709483723963,20.08643311489644
13,17.575333068574807,22.254103205740662,19.0431682922353,21.21791398584736,21.853292112892643,18.34454907749824,20.167944949631732,18.995083648850454,18.5777051875484,20.070886386644247,17.73713810406766,24.280888662084088,26.99541217339666,21.659176936531,20.22356589207672,16.402928563259245,24.61119970171186,21.776001416279456,21.31574650894973,21.38774627770246,25.799761842001857,17.30148581492309,19.26689796792287,21.10282745548826,18.19317877925981,20.656921189105727,18.91548596677115,19.060067072015276,18.045148135811495,20.958645514057363
