Model,Hours,Events,CPU Times (s),Rank 1/5/10
S\&M,8,5,0.592,1498.5691
GA1,8,5,0.2887596333333333,80.0/83.33/86.67
GA2,8,5,0.26382056666666664,73.33/73.33/73.33
GA3,8,5,0.3077488333333333,56.67/60.0/60.0
S\&M,10,7,84.109,1962.6949
GA1,10,8,1.5120796333333333,0.0/20.0/36.67
GA2,10,8,1.3625282,0.0/23.33/43.33
GA3,10,8,1.5942457333333333,3.33/33.33/43.33
S\&M,12,8,181.344,2658.517
GA1,12,8,1.5361166,0.0/10.0/60.0
GA2,12,8,1.4098403666666668,0.0/16.67/70.0
GA3,12,8,1.6185467,0.0/0.0/70.0
S\&M,14,9,1580.009,3231.4351
GA1,14,10,2.6436157,3.33/6.67/50.0
GA2,14,10,2.4145797,0.0/3.33/56.67
GA3,14,10,2.8197777000000004,6.67/10.0/60.0
S\&M,16,10,27015.306,3738.38
GA1,16,12,6.369,0.0/50.0/86.67
GA2,16,12,5.931317366666667,0.0/63.33/96.67
GA3,16,12,6.660845966666667,0.0/43.33/86.67
S\&M,18,13,40005.529,4333.8324
GA1,18,14,6.588233766666666,0.0/26.67/80.0
GA2,18,14,6.197868266666666,0.0/26.67/73.33
GA3,18,14,7.251237366666667,0.0/30.0/83.33
S\&M,20,17,40007.597,4854.7317
GA1,20,16,16.089807666666665,0.0/26.67/90.0
GA2,20,16,15.258383366666667,0.0/46.67/93.33
GA3,20,16,18.055634100000002,0.0/26.67/86.67
S\&M,22,19,40007.515,5483.5322
GA1,22,18,18.2461138,0.0/23.33/76.67
GA2,22,18,16.979837533333335,0.0/13.33/90.0
GA3,22,18,19.600375133333333,3.33/13.33/90.0
S\&M,24,21,40005.094,6036.4799
GA1,24,21,21.208738733333334,0.0/6.67/76.67
GA2,24,21,20.474333866666665,0.0/10.0/73.33
GA3,24,21,22.131864933333336,0.0/10.0/73.33
